13,Password Management System,HIPAA HITRUST,01.r,Password Management System,Systems for managing passwords shall be interactive and shall ensure quality passwords. ,System
14,Information Access Restriction,HIPAA HITRUST,01.v,Information Access Restriction,"Logical and physical access to information and application systems and functions by users and support personnel shall be restricted in accordance with the defined access control policy. 
",System
15,Sensitive System Isolation,HIPAA HITRUST,01.w,Sensitive System Isolation,Sensitive systems shall have a dedicated and isolated computing environment. ,System 
16,Mobile Computing and Communications,HIPAA HITRUST,01.x,Mobile Computing and Communications,"A formal policy shall be in place, and appropriate security measures shall be adopted to protect against the risks of using mobile computing and communication devices. 
",Organizational 
17,Teleworking,HIPAA HITRUST,01.y,Teleworking,"A policy, operational plans and procedures shall be developed and implemented for teleworking activities. ",Organizational 
18,Roles and Responsibilities,HIPAA HITRUST,02.a,Roles and Responsibilities,"Security roles and responsibilities of employees, contractors and third party users shall be defined and documented in accordance with the organization's information security policy. ",Organizational 
19,Management Responsibilities,HIPAA HITRUST,02.d,Management Responsibilities,"Management shall require employees, and where applicable contractors and third party users, to apply security in accordance with established policies and procedures of the organization. ",Organizational 
20,"Information Security Awareness, Education,
and Training",HIPAA HITRUST,02.e,"Information Security Awareness, Education,
and Training","All employees of the organization and contractors and third party users shall receive appropriate awareness training and regular updates in organizational policies and procedures, as relevant for their job function. ",Organizational 
21,Disciplinary Process,HIPAA HITRUST,02.f,Disciplinary Process,There shall be a formal disciplinary process for employees who have violated security policies and procedures. ,Organizational 
22,Removal of Access Rights,HIPAA HITRUST,02.i,Removal of Access Rights,"The access rights of all employees, contractors and third party users to information and information assets shall be removed upon termination of their employment, contract or agreement, or adjusted upon a change of employment (i.e. upon transfer within the organization). ",Organizational
23,Risk Management Program Development,HIPAA HITRUST,03.a,Risk Management Program Development,"Organizations shall develop and maintain a risk management program to manage risk to an acceptable level. 
",Organizational
24,Performing Risk Assessment,HIPAA HITRUST,03.b,Performing Risk Assessment,Risk Assessments shall be performed to identify and quantify risks. ,Organizational
25,Risk Mitigation,HIPAA HITRUST,03.c,Risk Mitigation,Risks shall be mitigated to an acceptable level. ,Organizational
26,Information Security Policy Document,HIPAA HITRUST,04.a,Information Security Policy Document,"Information Security Policy documents shall be approved by management, and published and communicated to all employees and relevant external parties. Information Security Policy documents shall establish the direction of the organization and align to best practices, regulatory, federal/state and international laws where applicable. The Information Security policy documents shall be supported by a strategic plan and a security program with well-defined roles and responsibilities for leadership and officer roles. 
",Organizational
27,Review of the Information Security Policy,HIPAA HITRUST,04.b,Review of the Information Security Policy,The information security policy documents shall be reviewed at planned intervals or if significant changes occur to ensure its continuing adequacy and effectiveness. ,Organizational
28,Management Commitment to Information Security,HIPAA HITRUST,05.a,Management Commitment to Information Security,"Management shall actively support security within the organization through clear direction, demonstrated commitment, explicit assignment, and acknowledgment of information security responsibilities. ",Organizational
29,Information Security Coordination,HIPAA HITRUST,05.b,Information Security Coordination,"Information security activities shall be coordinated by representatives from different parts of the organization with relevant roles and job functions. 
",Organizational
30,Identification of Risks Related to External Parties,HIPAA HITRUST,05.i,Identification of Risks Related to External Parties,"The risks to the organization's information and information assets from business processes involving external parties shall be identified, and appropriate controls implemented before granting access. ",Organizational
31,Addressing Security in Third Party Agreements,HIPAA HITRUST,05.k,Addressing Security in Third Party Agreements,"Agreements with third parties involving accessing, processing, communicating or managing the organization's information or information assets, or adding products or services to information assets shall cover all relevant security requirements. 
",Organizational
32,Data Protection and Privacy of Covered Information,HIPAA HITRUST,06.d,Data Protection and Privacy of Covered Information,"Data protection and privacy shall be ensured as required in relevant legislation, regulations, and contractual clauses. ",Organizational
33,Prevention of Misuse of Information Assets,HIPAA HITRUST,06.e,Prevention of Misuse of Information Assets,Users shall be deterred from using information assets for unauthorized purposes. ,Organizational
34,Compliance with Security Policies and Standards,HIPAA HITRUST,06.g,Compliance with Security Policies and Standards,Managers shall ensure that all security procedures within their area of responsibility are carried out correctly to achieve compliance with security policies and standards. ,Organizational
35,Inventory of Assets,HIPAA HITRUST,07.a,Inventory of Assets,All assets including information shall be clearly identified and an inventory of all assets drawn up and maintained. ,Organizational
36,Acceptable Use of Assets,HIPAA HITRUST,07.c,Acceptable Use of Assets,"Rules for the acceptable use of information and assets associated with information processing systems shall be identified, documented, and implemented. ",Organizational
37,Physical Entry of Controls,HIPAA HITRUST,08.b,Physical Entry of Controls,Secure areas shall be protected by appropriate entry controls to ensure that only authorized personnel are allowed access. ,Organizational
38,Protecting Against External and Environmental Threats,HIPAA HITRUST,08.d,Protecting Against External and Environmental Threats,"Physical protection against damage from fire, flood, earthquake, explosion, civil unrest, and other forms of natural or man-made disaster shall be designed and applied. ",Organizational
39,Equipment Maintenance,HIPAA HITRUST,08.j,Equipment Maintenance,Equipment shall be correctly maintained to ensure its continued availability and integrity. ,Organizational
40,Secure Disposal or Re-Use of Equipment,HIPAA HITRUST,08.i,Secure Disposal or Re-Use of Equipment,All items of equipment containing storage media shall be checked to ensure that any covered information and licensed software has been removed or securely overwritten prior to disposal. ,Organizational
41,Audit Logging,HIPAA HITRUST,09.aa,Audit Logging,"Audit logs recording user activities, exceptions, and information security events shall be produced and kept for an agreed period to assist in future investigations and access control monitoring. ",System
42,Monitoring System Use,HIPAA HITRUST,09.ab,Monitoring System Use,Procedures for monitoring use of information processing systems and facilities shall be established to check for use and effectiveness of implemented controls. The results of the monitoring activities shall be reviewed regularly. ,System
43,Protection of Log Information,HIPAA HITRUST,09.ac,Protection of Log Information,"Logging systems and log information shall be protected against tampering and unauthorized access. 
",System
44,Clock Synchronization,HIPAA HITRUST,09.af,Clock Synchronization,The clocks of all relevant information processing systems within the organization or security domain shall be synchronized with an agreed accurate time source to support tracing and reconstitution of activity timelines. ,System
45,Segregation of Duties,HIPAA HITRUST,09.c,Segregation of Duties,Separation of duties shall be enforced to reduce opportunities for unauthorized or unintentional modification or misuse of the organization's assets. ,Organizational
46,Service Delivery,HIPAA HITRUST,09.e,Service Delivery,"It shall be ensured that the security controls, service definitions and delivery levels included in the third party service delivery agreement are implemented, operated and maintained by the third party.",System
47,Monitoring and Review of Third Party Services,HIPAA HITRUST,09.f,Monitoring and Review of Third Party Services,"The services, reports and records provided by the third party shall be regularly monitored and reviewed, and audits shall be carried out regularly to govern and maintain compliance with the service delivery agreements. ",System
48,Managing Changes to Third Party Services,HIPAA HITRUST,09.g,Managing Changes to Third Party Services,"Changes to the provision of services, including maintaining and improving existing information security policies, procedures and controls, shall be managed, taking account of the criticality of business systems and processes involved and reassessment of risks.",System
49,Controls Against Malicious Code,HIPAA HITRUST,09.j,Controls Against Malicious Code,"Detection, prevention, and recovery controls shall be implemented to protect against malicious code, and appropriate user awareness procedures on malicious code shall be provided. ",Organizational
50,Network Controls,HIPAA HITRUST,09.m,Network Controls,"Networks shall be managed and controlled in order to protect the organization from threats and to maintain security for the systems and applications using the network, including information in transit. ",Organizational
51,Security of Network Services,HIPAA HITRUST,09.n,Security of Network Services,"Security features, service levels, and management requirements of all network services shall be identified and included in any network services agreement, whether these services are provided in-house or outsourced. ",Organizational
52,Management of Removable Media,HIPAA HITRUST,09.o,Management of Removable Media,Formal procedures shall be documented and implemented for the management of removable media. ,Organizational
53,Disposal of Media,HIPAA HITRUST,09.p,Disposal of Media,"Media shall be disposed of securely and safely when no longer required, using formal procedures that are documented. ",Organizational
54,Information Handling Procedures,HIPAA HITRUST,09.q,Information Handling Procedures,Procedures for the handling and storage of information shall be established to protect this information from unauthorized disclosure or misuse. ,Organizational
55,Information Exchange Policies and Procedures,HIPAA HITRUST,09.s,Information Exchange Policies and Procedures,"Formal exchange policies, procedures, and controls shall be in place to protect the exchange of information through the use of all types of communication mediums. ",Organizational
56,Input Data Validation,HIPAA HITRUST,10.b,Input Data Validation,Data input to applications and databases shall be validated to ensure that this data is correct and appropriate. ,System
57,Policy on the Use of Cryptographic Controls,HIPAA HITRUST,10.f,Policy on the Use of Cryptographic Controls,"A policy on the use of cryptographic controls for protection of information shall be developed and implemented, and supported by formal procedures. ",Organizational
58,Key Management,HIPAA HITRUST,10.g,Key Management,"Key management shall be in place to support the organizations use of cryptographic techniques. 
",Organizational
59,Control of Operational Software,HIPAA HITRUST,10.h,Control of Operational Software,There shall be procedures in place to control the installation of software on operational systems. ,System
60,Outsourced Software Development,HIPAA HITRUST,10.l,Outsourced Software Development,Outsourced software development shall be supervised and monitored by the organization. ,Organizational
61,Control of Technical Vulnerabilities,HIPAA HITRUST,10.m,Control of Technical Vulnerabilities,Timely information about technical vulnerabilities of information systems being used shall be obtained; the organization's exposure to such vulnerabilities evaluated; and appropriate measures taken to address the associated risk. ,Organizational
62,Reporting Information Security Events,HIPAA HITRUST,11.a,Reporting Information Security Events,"Information security events shall be reported through appropriate communications channels as quickly as possible. All employees, contractors and third party users shall be made aware of their responsibility to report any information security events as quickly as possible. ",Organizational
63,Responsibilities and Procedures,HIPAA HITRUST,11.c,Responsibilities and Procedures,"Management responsibilities and procedures shall be established to ensure a quick, effective, and orderly response to information security incidents. ",Organizational
64,Developing and Implementing Continuity Plans Including Information Security,HIPAA HITRUST,12.c,Developing and Implementing Continuity Plans Including Information Security,"Plans shall be developed and implemented to maintain or restore operations and ensure availability of information at the required level and in the required time scales following interruption to, or failure of, critical business processes. ",Organizational
