question,answer
Does your company enforce session timeouts or screen lockouts upon 15 minutes or less of inactivity?,Yes
"Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms?",Yes
At what interval does your corporate policy require users to change their passwords?,Every 90 days
Is remote access permitted?,Yes
Is two factor authentication required for remote access?,Yes
"Is standards based federated ID capability available to clients (e.g., SAML, OpenID)?",No
Are remote users prevented from copying data to remote devices?,No
Are encrypted communications required for all remote connections?,Yes
"Are business information systems used to transmit, process or store data?",Yes
Does your company develop application components that Qualcomm uses (or will use)?,Yes
"Does application development follow a formal application security standards methodology (e.g. OWASP, Microsoft SDL)?",Yes
Does your company follow a formal Software Development Life Cycle (SDLC) process?,Yes
Does your company perform a secure code review at least annually?,Yes
"Are the development, test, and staging environment separate from the production environment?",Yes
Is any of your company's software development outsourced?,No
"Are web servers used for transmitting, processing or storing data?",Yes
Is HTTPS enabled for any web applications used as part of the service that allow users to log in or contain anything but public data?,Yes
Does the company have a documented Incident Management program?,Yes
Is there a formal Incident Response Plan?,Yes
Is there a phone number available to clients to report security incidents?,"Yes
The clients can reach the Signifi support department at the - published on our website - customer service toll free number."
Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents?,Yes
"Is there a Business Resiliency policy defined, reviewed and approved on a periodic cadence? If yes, please provide the frequency under comments box.","Yes
BCP reviewed yearly."
Are there any dependencies on critical third party service providers?,Yes
"Is there a formal, documented exercise and testing program in place?",No
Is there a specific Recovery Time Objective (RTO)?,"Yes, RTO indicated in comment box
Depending on the hosting option, from 5 minutes to 24 hours."
"Are all suppliers of critical hardware, network services and facility services involved in annual continuity and recovery tests?","No, performed as standalone test"
Do contracts with critical service providers include a penalty or remediation clause for breach of availability and continuity SLAs?,No
Is there sufficient redundancy capacity to ensure services are not impacted in multi-tenancy environments during peak usage and above?,Yes
Is there a periodic (at least annual) review of your Business Resiliency Program?,Yes
Has an independent third party evaluated the Business Resiliency Program within the past 12 months?,Yes
Is a Business Impact Analysis conducted periodically?,Annually
Are formal business continuity procedures developed and documented?,Yes
Are BC/DR tests conducted periodically?,Quarterly
"Is there an risk management, compliance department, or other management oversight unit with responsibility for identifying and tracking resolution of outstanding regulatory issues?",Yes
Is there an internal audit function or a third party that conducts assessments of the systems and data?,"Yes
Internal audit."
How often are the assessments performed?,Annually
"Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products?",Yes
Is there an internal compliance and ethics reporting mechanism and training program for employees to report compliance issues?,Yes
"Are End User Devices (Desktops, Laptops, Tablets) used for transmitting, processing or storing data?",Yes
"Does your company have an Anti-Malware (anti-virus, anti-spyware, etc.) solution deployed to all desktops and laptops?","Yes
BitDefender GravityZone."
Are all available high-risk security patches applied and verified on all server platforms?,Yes
Does your company require whole disk encryption on laptops?,Yes-on all Laptops
Are all security configuration standards documented?,Yes
Does your company have a host-based firewall solution deployed and enabled on all computer systems?,Yes-Servers only
"Are operating system and application logs relevant to investigation of incidents protected against modification, deletion, and/or inappropriate access?",Yes
Is management of your network (or part thereof) outsourced?,No
"Does your company have a written set of guidelines for the configuration, maintenance and use of your network?",No
Are firewalls (application aware) in use for both internal and external connections?,"No
We use firewalls, but not WAFs, yet."
Are all available high-risk network security patches applied and verified at least monthly?,Yes
Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled?,Yes
Is there a monitoring and alerting mechanism in place on your network?,Yes
"Does your company allow wireless networks access to private aspects of your infrastructure (i.e., Wi-Fi networks, excluding networks that only allow guests access to the Internet)?","Yes, but we have implemented 802.1x to authenticate workstations."
Does your company allow remote (i.e. VPN) access to remotely administrator your network?,Yes
Does the company require two-factor authentication for remote administration of IT assets and administrative access to the firewall?,No
Are mobile devices used /allowed to access systems and data?,No
"Is there an anti-virus / malware policy or program (workstations, servers, mobile devices) that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes
Are thrid party services used to keep up to date with the latest vulnerabilities?,Yes
"Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)?",Yes
"Vulnerability assessments, scans or penetration tests are performed on:","External network connections only
Third party penetration scans are done annually. Internal scans are done monthly."
"Are vulnerability assessements, scans or penetration tests performed by trained and experienced personnel or company?",Yes
Are vulnerability assessments or scans on internal or external network connections performed at least quarterly?,Yes
Where is the application or service being hosted?,"Hosted in a cloud or data center environment managed by my organization or a 3rd party (e.g. public, hybrid, private cloud or data center)
Hosted in a cloud / data center environment managed by Qualcomm. (e.g. Qualcomm’s AWS account or data center)
Other"
