question,context,answer
What is your RTO (recovery time objective)?,"1. Is there a specific Recovery Time Objective (RTO)? Yes, RTO indicated in comment box
Depending on the hosting option, from 5 minutes to 24 hours.
2. Is there a periodic (at least annual) review of your Business Resiliency Program? Yes
3. Does your company enforce session timeouts or screen lockouts upon 15 minutes or less of inactivity? Yes
4. Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents? Yes
5. Has an independent third party evaluated the Business Resiliency Program within the past 12 months? Yes
","The RTO varies depending on the hosting option, ranging from 5 minutes to 24 hours."
What is your RPO (recovery point objective)?,"1. Is there a specific Recovery Time Objective (RTO)? Yes, RTO indicated in comment box
Depending on the hosting option, from 5 minutes to 24 hours.
2. Is there a periodic (at least annual) review of your Business Resiliency Program? Yes
3. Are your company's system backups stored at an offsite location? Yes
4. Is there a formal Incident Response Plan? Yes
5. Does the offsite backup storage location have the same or stronger security controls as your primary location? Yes
",N/A
Do you have an documented incident response plan for the organization?,"1. Is there a formal Incident Response Plan? Yes
2. Does the company have a documented Incident Management program? Yes
3. Are formal business continuity procedures developed and documented? Yes
4. Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents? Yes
5. Is there a periodic (at least annual) review of your Business Resiliency Program? Yes
",Yes.
"Is a process in place to wipe data from hardware before it is disposed or reused in a way that meets required compliance sets. (e.g. degaussing, cryptographic wiping, disk shredding, etc.)","1. How does your company secure sensitive information on removable media (e.g., USB drive, external hard drives, DVDs, etc.)? Policy restricting sensitive data on media.
Controls restricting data from being copied to removable media.
Controls enforcing encryption on removable media
No controls in place
We are working on implementing controls for encryption of removable media. Policy does not allow users to copy customer data to their workstations and removable media.
2. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
3. Is there a removable media (CDs, DVDs, tapes, disk drives) policy or program that has been approved by management, communicated to appropriate constituents, and an owner to maintain and review the policy? Yes
4. Are electronic systems used to transmit, process or store data? Yes
5. Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms? Yes
",Yes.
What is your PCI DSS compliance level?,"1. Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)? We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
2. Is there a disciplinary process for non-compliance with information security policies? Yes
3. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
4. Have the information security policies been reviewed in the last 12 months? Yes
5. Does your company perform a secure code review at least annually? Yes
",N/A
Do you use a set of detailed practices for your Customer Support activities e.g. ITIL?,"1. Does your company follow a formal Software Development Life Cycle (SDLC) process? Yes
2. Does the company have a documented Incident Management program? Yes
3. Does your company have a written set of guidelines for the configuration, maintenance and use of your network? No
4. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
5. Are formal business continuity procedures developed and documented? Yes
",N/A
"Are all entrances protected by security officer, receptionist or electronic access control system?","1. Are reasonable physical security and environmental controls present in the office buildings and data center? Yes
2. Select the security controls that are in place at all of your data centers: (Check all that apply) Guards? Yes
Mantrap? No
Motion detectors? No 
Alarms? Yes
CCTV? Yes
Electronic access control (e.g., swipe cards) ? Yes
Perimeter security ? Yes
UPS batteries? Yes
Backup generators? Yes
Signifi does not have access to and does not control the data center physical security.
3. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
4. Are electronic systems used to transmit, process or store data? Yes
5. Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms? Yes
",Yes.
Are all visitors required to provide proof of ID and sign in before entry to internal area?,"1. Are all personnel required to sign an Acceptable Use Policy? Yes
2. Are all personnels (employees, contractors) required to sign confidentiality agreements to protect customer information, as a condition of employment? Yes
3. Are reasonable physical security and environmental controls present in the office buildings and data center? Yes
4. Is there a security awareness training program for all personnel (employees and consultants)? Yes
5. Are user access rights reviewed at least annually? Yes
",Yes.
Is access to restricted areas logged?,"1. Are operating system and application logs relevant to investigation of incidents protected against modification, deletion, and/or inappropriate access? Yes
2. Are privileged user access rights reviewed at least quarterly? Yes
3. Is remote access permitted? Yes
4. Are user access rights reviewed at least annually? Yes
5. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
",N/A
Do all fence lines and complete building perimeters have CCTV coverage?,"1. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
2. Are reasonable physical security and environmental controls present in the office buildings and data center? Yes
3. Select the security controls that are in place at all of your data centers: (Check all that apply) Guards? Yes
Mantrap? No
Motion detectors? No 
Alarms? Yes
CCTV? Yes
Electronic access control (e.g., swipe cards) ? Yes
Perimeter security ? Yes
UPS batteries? Yes
Backup generators? Yes
Signifi does not have access to and does not control the data center physical security.
4. Is there a monitoring and alerting mechanism in place on your network? Yes
5. Are all security configuration standards documented? Yes
",Yes.
Where is the data located and to what countries is it transferred?,"1. Does the system and data reside in a data center and/or a cloud service? Data Center
2. Are business information systems used to transmit, process or store data? Yes
3. Are electronic systems used to transmit, process or store data? Yes
4. Where is the application/service being hosted? Data will be hosted in a Qualcomm datacenter
5. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
",The data is located in a data center and there is no information provided about its transfer to other countries.
"If (EU/California, etc.) then does your company have a documented compliance program to meet the requirements of these regulations?","1. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
2. Does the company have a documented Incident Management program? Yes
3. Is there an internal compliance and ethics reporting mechanism and training program for employees to report compliance issues? Yes
4. Is there an established Business Resiliency program that has been approved by management and communicated to appropriate constituents? Yes
5. Is there an risk management, compliance department, or other management oversight unit with responsibility for identifying and tracking resolution of outstanding regulatory issues? Yes
",Yes.
"If EU, what data transfer mechanisms does the company utilize. (BCR, Privacy Shield, standard contractual clauses)","1. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
2. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
3. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
4. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
5. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
",N/A
"If EU, do you comply with the EU cookie law?","1. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
2. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
3. Is there a disciplinary process for non-compliance with information security policies? Yes
4. Are all personnel required to sign an Acceptable Use Policy? Yes
5. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
",N/A
Does the company have a procedure on how it would respond to a breach and how/when would they notify MSI?,"1. Does the company have a documented Incident Management program? Yes
2. Is there a disciplinary process for non-compliance with information security policies? Yes
3. Is there a formal Incident Response Plan? Yes
4. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
5. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
",N/A
Can company respond in a timely manner (based on regulations) to data subject access requests and have a process in place to notify MSI if they receive a request that involves MSI data?,"1. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
2. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
3. Is there a disciplinary process for non-compliance with information security policies? Yes
4. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
5. Does the company have a documented Incident Management program? Yes
",N/A
Does the company have a procedure to delete MSI data at the termination of the contract/relationship with MSI?,"1. Are documented procedures followed to govern change in employment and/or termination including the timely revocation of access and return of assets? Yes
2. Does the company have a documented Incident Management program? Yes
3. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
4. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
5. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
",N/A
"If required in contract, does the company have procedures in place to ensure MSI data is not shared with any parties beyond the terms detailed in the applicable contract?","1. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
2. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
3. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
4. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
5. Does management require the use of confidentiality or non-disclosure agreements for all third parties? Yes
",N/A
Do you support litigation holds (freeze of MSI data from a specific point in time)?,"1. Are operating system and application logs relevant to investigation of incidents protected against modification, deletion, and/or inappropriate access? Yes
2. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
3. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
4. Does the company have a documented Incident Management program? Yes
5. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
",N/A
Does your company have a documented privacy program?,"1. Does the company have a documented Incident Management program? Yes
2. Does your company have a written set of guidelines for the configuration, maintenance and use of your network? No
3. Does your company perform a secure code review at least annually? Yes
4. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
5. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
",N/A
Do you have dedicated or partially dedicated privacy personnel at your company?,"1. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
2. Are all personnels (employees, contractors) required to sign confidentiality agreements to protect customer information, as a condition of employment? Yes
3. Is management of your network (or part thereof) outsourced? No
4. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
5. Is there a security awareness training program for all personnel (employees and consultants)? Yes
",Yes.
Do you have a documented training and awareness program for employees that covers security and privacy?,"1. Is there a security awareness training program for all personnel (employees and consultants)? Yes
2. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
3. Is there an internal compliance and ethics reporting mechanism and training program for employees to report compliance issues? Yes
4. Does the company have a documented Incident Management program? Yes
5. Is there a disciplinary process for non-compliance with information security policies? Yes
",Yes.
Do you have a documented training program for secure design and development?,"1. Is there a formal, documented exercise and testing program in place? No
2. Does your company perform a secure code review at least annually? Yes
3. Is there a security awareness training program for all personnel (employees and consultants)? Yes
4. Does your company follow a formal Software Development Life Cycle (SDLC) process? Yes
5. Are all security configuration standards documented? Yes
",N/A
Do you perform background checks on employees and contractors?,"1. Is a background screening /verification (as allowed by local laws, regulations, ethics and contractual constraints) performed for personnels (employees, contractors) prior to allowing access to systems and data? (Check all that apply) Criminial ? yes
Credit? No
Academic? No
Reference? Yes
Resume or curriculum vitae? Yes
Drug Screening? No
We perform criminal background checks for persons with access to customer data.
2. Are all personnels (employees, contractors) required to sign confidentiality agreements to protect customer information, as a condition of employment? Yes
3. Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)? We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
4. Does your company perform a secure code review at least annually? Yes
5. Is there a security awareness training program for all personnel (employees and consultants)? Yes
","Yes, we perform criminal background checks for persons with access to customer data."
Is a disciplinary process in place for employees who knowingly deviate from policies?,"1. Is there a disciplinary process for non-compliance with information security policies? Yes
2. Are documented procedures followed to govern change in employment and/or termination including the timely revocation of access and return of assets? Yes
3. Is there a formal process for appropriate management knowingly and objectively accepting risks and approving action plans? Yes
4. Is there an internal compliance and ethics reporting mechanism and training program for employees to report compliance issues? Yes
5. Is there a process to approve exceptions to the information security policy? No
",Yes.
Do you have a process to assess and manage supply chain risk?,"1. Is there a formal process for appropriate management knowingly and objectively accepting risks and approving action plans? Yes
2. Is there a risk assessment program that has been approved by management, communicated to appropriate constituents and has an owner owner assigned to maintain and review the program? Yes
3. Is there a documented vendor management process in place for selection and oversight of third party vendors? (Check all that apply) Approval by management? yes 
Annual review?No
Review of subcontractor's vendor management policy & procedures?Yes
Other?No
4. Is there a periodic (at least annual) review of your Business Resiliency Program? Yes
5. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
",N/A
Do you have any Chinese or Russian based suppliers?,"1. Does your company develop application components that Qualcomm uses (or will use)? Yes
2. Is any of your company's software development outsourced? No
3. Are there any dependencies on critical third party service providers? Yes
4. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
5. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
",N/A
"Do you ensure that your 3rd party partners, vendors, contractors, and suppliers adhere to your Security and Privacy policies?","1. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
2. The third parties with whom you share or enable direct access to data are: (check all that apply) Subjected to a background check? yes
Bound by the same legal requirements for privacy, data protection, and information security as your company? yes
Required to obtain your consent before using the data? yes
Required to notify your company and/or client in the event of a data breach? yes
Required to assist your company in making disclosures or notifications in the event of a data breach or data subject inquiry? yes
Required to give privacy and data protection training and education to all subcontractor employees with access to data? Required to submit to audits by your company and/or to provide annual privacy, data protection, and/or data security audit reports? No
Required to destroy data upon request by either you or client?
3. Describe how you perform security assessments of third party companies with which you share data (subcontractors, hosting providers, etc.)? We are asking for a SOC 2 or equivalent certification. We are reviewing the contracts.
4. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
5. Are there legal agreements (i.e. contracts) in place with the third parties that addresses liability in the event of a data breach? No
",Yes.
Do you establish Quality criteria for your 3rd Party Vendor product before releasing to production?,"1. Is there a documented vendor management process in place for selection and oversight of third party vendors? (Check all that apply) Approval by management? yes 
Annual review?No
Review of subcontractor's vendor management policy & procedures?Yes
Other?No
2. Are there any dependencies on critical third party service providers? Yes
3. Does your company follow a formal Software Development Life Cycle (SDLC) process? Yes
4. Does your company develop application components that Qualcomm uses (or will use)? Yes
5. Is any of your company's software development outsourced? No
",N/A
Are Service and Support plans established for your 3rd Party Vendors?,"1. Are there any dependencies on critical third party service providers? Yes
2. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
3. Are thrid party services used to keep up to date with the latest vulnerabilities? Yes
4. Do you share data with, or enable direct access by, any third-party (e.g. subcontractors, hosting providers)? Yes
5. Is there a documented vendor management process in place for selection and oversight of third party vendors? (Check all that apply) Approval by management? yes 
Annual review?No
Review of subcontractor's vendor management policy & procedures?Yes
Other?No
",N/A
"Are performance measures tracked for your 3rd Party Vendors e.g. escaped defects, resolution times?","1. Have any of your third party vendors suffered a data loss or security breach within the last 3 years? No
2. Is there a documented vendor management process in place for selection and oversight of third party vendors? (Check all that apply) Approval by management? yes 
Annual review?No
Review of subcontractor's vendor management policy & procedures?Yes
Other?No
3. Are thrid party services used to keep up to date with the latest vulnerabilities? Yes
4. Are there any dependencies on critical third party service providers? Yes
5. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
",N/A
Do you have a documented Open Source Software Policy?,"1. Are there policies and procedures to ensure compliance with applicable legislative, regulatory and contractual requirements to address intellectual property rights on business processes or information technology software products? Yes
2. Does your company follow a formal Software Development Life Cycle (SDLC) process? Yes
3. Does your company have a written set of guidelines for the configuration, maintenance and use of your network? No
4. Is there an information security policy that has been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy? Yes
5. Does your company follow a formal OS (Unix, Linux, Windows) hardening standards? Yes
",N/A
Do you perform Open Source Software scans?,"1. Do you have a vulnerability management program (e.g. vulnerability scans, penetration tests, patch management, etc.)? Yes
2. Does your company perform a secure code review at least annually? Yes
3. Do you have an penetration test assessment (e.g.,executive summary, full report, etc.) which follows the OWASP guidelines and performed within the last year? Yes
4. Are vulnerability assessments or scans on internal or external network connections performed at least quarterly? Yes
5. Are vulnerability assessements, scans or penetration tests performed by trained and experienced personnel or company? Yes
",N/A
Is the network segregated?,"1. Is management of your network (or part thereof) outsourced? No
2. Does your company have a written set of guidelines for the configuration, maintenance and use of your network? No
3. Does your company allow wireless networks access to private aspects of your infrastructure (i.e., Wi-Fi networks, excluding networks that only allow guests access to the Internet)? Yes, but we have implemented 802.1x to authenticate workstations.
4. Is there a monitoring and alerting mechanism in place on your network? Yes
5. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
",N/A
Are Intrusion Protection systems deployed?,"1. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
2. Is there a monitoring and alerting mechanism in place on your network? Yes
3. Are reasonable physical security and environmental controls present in the office buildings and data center? Yes
4. Does your company have a host-based firewall solution deployed and enabled on all computer systems? Yes-Servers only
5. Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms? Yes
",Yes.
Are Intrusion Detection systems deployed?,"1. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
2. Is there a monitoring and alerting mechanism in place on your network? Yes
3. Does your company have a host-based firewall solution deployed and enabled on all computer systems? Yes-Servers only
4. Are thrid party services used to keep up to date with the latest vulnerabilities? Yes
5. Is there a formal Incident Response Plan? Yes
",Yes.
Is endpoint protection deployed?,"1. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
2. Is there a monitoring and alerting mechanism in place on your network? Yes
3. Does your company have a host-based firewall solution deployed and enabled on all computer systems? Yes-Servers only
4. Are all available high-risk network security patches applied and verified at least monthly? Yes
5. Are all available high-risk security patches applied and verified on all server platforms? Yes
",Yes.
Is the network monitored and events logged?,"1. Is there a monitoring and alerting mechanism in place on your network? Yes
2. Are operating system and application logs relevant to investigation of incidents protected against modification, deletion, and/or inappropriate access? Yes
3. Are Intrusion detection/prevention systems employed in all sensitive network zones and wherever firewalls are enabled? Yes
4. Does the company have a documented Incident Management program? Yes
5. Are all available high-risk network security patches applied and verified at least monthly? Yes
",Yes.
Are the logs encrypted and protected?,"1. Are operating system and application logs relevant to investigation of incidents protected against modification, deletion, and/or inappropriate access? Yes
2. Are encrypted communications required for all remote connections? Yes
3. Is HTTPS enabled for any web applications used as part of the service that allow users to log in or contain anything but public data? Yes
4. What measures are taken to ensure safe transport of backups? (Check all that apply) Secured transport
Encrypted backup tapes
Tamper-proof seals on tape containers
Documentation and receipt of tape transfer
None
N/A, stored in the cloud
Backups are encrypted.
5. Does your company require whole disk encryption on laptops? Yes-on all Laptops
","Yes, logs are protected against modification, deletion, and/or inappropriate access."
Is data in transit and at rest encrypted within your network?,"1. How does your company use encryption to secure data Encryption in transit outside the network
Encryption at rest and in transit within the network
Both (Encryption in transit and at rest within & outside the network)
No, compensating control in place (explained in comment box)
2. Are encrypted communications required for all remote connections? Yes
3. Are End User Devices (Desktops, Laptops, Tablets) used for transmitting, processing or storing data? Yes
4. Are business information systems used to transmit, process or store data? Yes
5. Are electronic systems used to transmit, process or store data? Yes
",Yes.
Is remote access to the network protected (e.g. VPN),"1. Does your company allow remote (i.e. VPN) access to remotely administrator your network? Yes
2. Is remote access permitted? Yes
3. Is two factor authentication required for remote access? Yes
4. Are encrypted communications required for all remote connections? Yes
5. Does the company require two-factor authentication for remote administration of IT assets and administrative access to the firewall? No
",Yes.
"Is multifactor authentication used, at a minimum for privileged accounts?","1. Is two factor authentication required for remote access? Yes
2. Are privileged user access rights reviewed at least quarterly? Yes
3. Does the company require two-factor authentication for remote administration of IT assets and administrative access to the firewall? No
4. Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms? Yes
5. Are user access rights reviewed at least annually? Yes
",N/A
Is the principle of least privilege used for account permissions?,"1. Are privileged user access rights reviewed at least quarterly? Yes
2. Are user access rights reviewed at least annually? Yes
3. Is there a password policy for systems that transmit, process or store scoped systems data that has been approved by management, communicated to constituents, and enforced on all platforms? Yes
4. Is there a process to grant and approve access to systems transmitting, processing or storing system and data? Yes
5. Are documented procedures followed to govern change in employment and/or termination including the timely revocation of access and return of assets? Yes
",Yes.
How often are backup taken?,"1. Are your company's system backups stored at an offsite location? Yes
2. Does the offsite backup storage location have the same or stronger security controls as your primary location? Yes
3. Are BC/DR tests conducted periodically? Quarterly
4. What measures are taken to ensure safe transport of backups? (Check all that apply) Secured transport
Encrypted backup tapes
Tamper-proof seals on tape containers
Documentation and receipt of tape transfer
None
N/A, stored in the cloud
Backups are encrypted.
5. How often are the assessments performed? Annually
","N/A, as the frequency of backups is not mentioned in the given context."
